German,English,word_id,img
"der Lieblingsplatz,-:e",favorite place,137,None
"der Strand,-:e",beach,138,None
"das Meer,-e",sea,139,None
"die Grenze,-n",border,140,None
"das Haus,-:er",house,141,None
"die Farbe,-n",color,142,None
"das Tier,-e",animal,143,None
"das Foto,-s",photo,144,None
"die Fahrkarte,-n",ticket (travel card),145,None
"der Nachmittag,-e",afternoon,146,None
"die Straße,-n",street,147,None
"das Gesicht,-er",face,148,None
"das Telefon,-e",phone,149,None
"das Problem,-e",problem,150,None
"die Information,-nen",information,151,None
"der Europatag,-e",day of Europe,152,None
"das Schulfest,-e",school fest,153,None
"das Quiz Sg",quiz,154,None
"die Lösung,-en",solution,155,None
"brauchen",to need,156,None
"bringen",to bring,157,None
"wollen",to want,158,None
"werden",to become,159,None
"passen",to fit,160,None
"bekommen",to recieve,161,None
"kaufen",to buy,162,None
"kosten",to cost,163,None
"kontrollieren",to controll,164,None
"anrufen",to call,165,None
"blau",blue,166,None
"ruhig",calm,167,None
"grau",gray,168,None
"schwarz",black,169,None
"weiß",white,170,None
"plötzlich",suddenly,171,None
"gefährlich",dangerous,172,None
"braun",brown,173,None
"lang",long,174,None
"lila",purple,175,None
"gelb",yellow,176,None
"rot",red,177,None
"grün",green,178,None
"orange",orange,179,None
"dunkel",dark,180,None
"zufrieden",satisfied,181,None
"lustig",funny,182,None
"müde",tired,183,None
"traurig",sad,184,None
"glücklich",happy,185,None
"nervös",nervous,186,None
"wunderbar",wonderful,187,None
"arm",poor,188,None
"spät",late,189,None
"einfach",easy,190,None
"überall",everywhere,191,None
"nicht mehr",no longer,192,None
"jetzt",now,193,None
"später",later,194,None
"wirklich",really,195,None
