German, English,word_id,img
"das Fieber die Fieber",fever,448,None
"die Kopfschmerzen Plural",headache,449,None
"das Nasenbluten Singular",nosebleed,450,None
"der Husten Singular",cough,451,None
"das Niesen die Niesen",sneeze,452,None
"die Erkältung die Erkältungen",cold,453,None
"die Grippe Singular",flu,454,None
"das Asthma Singular",asthma,455,None
"der Krampf die Krämpfe",cpramp,456,None
"die Übelkeit die Übelkeiten",dizziness,457,None
"der Herzinfarkt die Herzinfarkte",heart attack,458,None
"der Schlaganfall die Schlaganfälle",stroke,459,None
"der Blutdruck Singular",blood pressure,460,None
"sich übergeben",trow up,461,None
"in Ohnmacht fallen",to collapse,462,None
